doc_id,company_name,file_name,file_path,document_type,document_date,effective_date,fund_id,total_pages,extraction_date
DOC000037,하나자산운용,R2_KR5111450067.pdf,data/투자설명서/하나자산운용/R2_KR5111450067.pdf,투자설명서,2025-06-05,2025-06-27,FUND000035,77,2026-08-31
DOC000038,한화자산운용,R2_KR5129420025.pdf,data/투자설명서/한화자산운용/R2_KR5129420025.pdf,투자설명서,2025-09-25,2025-10-15,FUND000036,80,2026-08-31
DOC000039,한화자산운용,R2_KR5129420031.pdf,data/투자설명서/한화자산운용/R2_KR5129420031.pdf,투자설명서,2025-11-06,2025-11-18,FUND000037,69,2026-08-31
DOC000040,신한자산운용,R2_KR5117420097.pdf,data/투자설명서/신한자산운용/R2_KR5117420097.pdf,투자설명서,2025-08-07,2025-08-14,FUND000038,55,2026-08-31
DOC000041,신한자산운용,R2_KR5119450058.pdf,data/투자설명서/신한자산운용/R2_KR5119450058.pdf,투자설명서,2025-02-14,2025-02-21,FUND000039,64,2026-08-31
DOC000042,신한자산운용,R2_KR5119501001.pdf,data/투자설명서/신한자산운용/R2_KR5119501001.pdf,투자설명서,2025-08-07,2025-08-14,FUND000040,50,2026-08-31
DOC000043,신한자산운용,R2_KR5119520012.pdf,data/투자설명서/신한자산운용/R2_KR5119520012.pdf,투자설명서,2025-02-20,2025-02-27,FUND000041,65,2026-08-31
DOC000044,교보악사자산운용,R2_KR5120420039.pdf,data/투자설명서/교보악사자산운용/R2_KR5120420039.pdf,투자설명서,2025-09-04,2025-11-07,FUND000042,80,2026-08-31
DOC000045,교보악사자산운용,R2_KR5120420091.pdf,data/투자설명서/교보악사자산운용/R2_KR5120420091.pdf,투자설명서,2025-12-20,2026-01-09,FUND000043,81,2026-08-31
DOC000046,교보악사자산운용,R2_KR5120450015.pdf,data/투자설명서/교보악사자산운용/R2_KR5120450015.pdf,투자설명서,2024-12-18,2025-01-24,FUND000044,89,2026-08-31
DOC000047,교보악사자산운용,R2_KR5120451001.pdf,data/투자설명서/교보악사자산운용/R2_KR5120451001.pdf,투자설명서,2025-06-03,2025-07-11,FUND000045,75,2026-08-31
DOC000048,삼성자산운용,R2_KR5114420016.pdf,data/투자설명서/삼성자산운용/R2_KR5114420016.pdf,투자설명서,2025-05-19,2025-05-30,FUND000046,100,2026-08-31
DOC000049,삼성자산운용,R2_KR5114420022.pdf,data/투자설명서/삼성자산운용/R2_KR5114420022.pdf,투자설명서,2025-02-20,2025-03-07,FUND000047,73,2026-08-31
DOC000050,삼성자산운용,R2_KR5114420027.pdf,data/투자설명서/삼성자산운용/R2_KR5114420027.pdf,투자설명서,2025-07-07,2025-07-18,FUND000048,90,2026-08-31
DOC000051,삼성자산운용,R2_KR5114420046.pdf,data/투자설명서/삼성자산운용/R2_KR5114420046.pdf,투자설명서,2026-01-02,2026-01-13,FUND000049,64,2026-08-31
DOC000052,삼성자산운용,R2_KR5114450222.pdf,data/투자설명서/삼성자산운용/R2_KR5114450222.pdf,투자설명서,2025-01-10,2025-01-24,FUND000050,77,2026-08-31
DOC000053,삼성자산운용,R2_KR5114450270.pdf,data/투자설명서/삼성자산운용/R2_KR5114450270.pdf,투자설명서,2026-01-02,2026-01-13,FUND000051,64,2026-08-31
