class_id,fund_id,period,return_pct,benchmark_return_pct,as_of_date,source_doc_id,source_page,source_text
CLASS000011,FUND000001,5Y,3.32,2.52,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )S-P; 최초설정일 2019-10-29; 5Y 수익률 3.32%
CLASS000011,FUND000001,SINCE_INCEPTION,3.25,2.47,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )S-P; 최초설정일 2019-10-29; SINCE_INCEPTION 수익률 3.25%
CLASS000012,FUND000001,1Y,5.02,4.14,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- W; 최초설정일 2020-08-21; 1Y 수익률 5.02%
CLASS000012,FUND000001,2Y,5.59,4.71,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- W; 최초설정일 2020-08-21; 2Y 수익률 5.59%
CLASS000012,FUND000001,3Y,5.3,4.27,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- W; 최초설정일 2020-08-21; 3Y 수익률 5.30%
CLASS000012,FUND000001,SINCE_INCEPTION,3.43,2.52,2025-07-29,DOC000001,47,[p.47] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )C- W; 최초설정일 2020-08-21; SINCE_INCEPTION 수익률 3.43%
CLASS000013,FUND000001,1Y,4.97,4.14,2025-07-29,DOC000001,48,[p.48] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )A2; 최초설정일 2020-08-26; 1Y 수익률 4.97%
CLASS000013,FUND000001,2Y,5.54,4.71,2025-07-29,DOC000001,48,[p.48] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )A2; 최초설정일 2020-08-26; 2Y 수익률 5.54%
CLASS000013,FUND000001,3Y,5.25,4.27,2025-07-29,DOC000001,48,[p.48] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )A2; 최초설정일 2020-08-26; 3Y 수익률 5.25%
CLASS000013,FUND000001,SINCE_INCEPTION,3.36,2.53,2025-07-29,DOC000001,48,[p.48] 마이다스 우량채권 증권 자투자신탁 제 1 호 ( 채권 )A2; 최초설정일 2020-08-26; SINCE_INCEPTION 수익률 3.36%
